Gene ID,hgnc_id,name,locus_group,locus_type,location,gene_family,gene_family_id
79738,HGNC:26291,Bardet-Biedl syndrome 10,protein-coding gene,gene with protein product,12q21.2,Chaperonins|Bardet-Biedl syndrome associated,587|980
8195,HGNC:7108,McKusick-Kaufman syndrome,protein-coding gene,gene with protein product,20p12,Chaperonins|Bardet-Biedl syndrome associated,587|980
92482,HGNC:28093,BBSome interacting protein 1,protein-coding gene,gene with protein product,10q25.3,Bardet-Biedl syndrome associated|BBSome,980|1122
140465,HGNC:29823,myosin light chain 6B,protein-coding gene,gene with protein product,12q13.2,Myosin light chains|EF-hand domain containing,657|863
140625,HGNC:24026,actin related protein T2,protein-coding gene,gene with protein product,1p36.3,,
3956,HGNC:6561,"lectin, galactoside binding soluble 1",protein-coding gene,gene with protein product,22q13.1,"Endogenous ligands|Lectins, galactoside-binding",542|629
56005,HGNC:16948,myeloid-derived growth factor,protein-coding gene,gene with protein product,19p13.3,,
6281,HGNC:10487,S100 calcium binding protein A10,protein-coding gene,gene with protein product,1q21,S100 calcium binding proteins,459
64499,HGNC:14120,tryptase beta 2 (gene/pseudogene),protein-coding gene,gene with protein product,16p13.3,,
1017,HGNC:1771,cyclin-dependent kinase 2,protein-coding gene,gene with protein product,12q13,Cyclin-dependent kinases,496
10557,HGNC:30329,ribonuclease P/MRP subunit p38,protein-coding gene,gene with protein product,10p13,,
10589,HGNC:3019,DR1 associated protein 1,protein-coding gene,gene with protein product,11q13,,
10963,HGNC:11387,stress induced phosphoprotein 1,protein-coding gene,gene with protein product,11q13,Tetratricopeptide repeat domain containing,769
11098,HGNC:14370,"protease, serine 23",protein-coding gene,gene with protein product,11q14.2,"Proteases, serine",738
114795,HGNC:29397,transmembrane protein 132B,protein-coding gene,gene with protein product,12q24.31,,
116071,HGNC:25163,basic leucine zipper ATF-like transcription factor 2,protein-coding gene,gene with protein product,11q13.1,Basic leucine zipper proteins,506
116150,HGNC:21042,NUS1 dehydrodolichyl diphosphate synthase subunit,protein-coding gene,gene with protein product,6q22.1,,
1207,HGNC:2080,chloride nucleotide-sensitive channel 1A,protein-coding gene,gene with protein product,11q14.1,,
128869,HGNC:15791,phosphatidylinositol glycan anchor biosynthesis class U,protein-coding gene,gene with protein product,20q11.22,Phosphatidylinositol glycan anchor biosynthesis,680
160762,HGNC:26669,coiled-coil domain containing 63,protein-coding gene,gene with protein product,12q24.11,,
161291,HGNC:27254,transmembrane protein 30B,protein-coding gene,gene with protein product,14q23.1,,
170589,HGNC:18054,glycoprotein hormone alpha 2,protein-coding gene,gene with protein product,11q13.1,,
172,HGNC:314,"AFG3 like matrix AAA peptidase subunit 1, pseudogene",pseudogene,pseudogene,16q24.3,AAA ATPases,413
1823,HGNC:3035,desmocollin 1,protein-coding gene,gene with protein product,18q12.1,Desmosomal cadherins,1188
1896,HGNC:3157,ectodysplasin A,protein-coding gene,gene with protein product,Xq12-q13.1,Tumor necrosis factor superfamily,781
202559,HGNC:18114,"KH domain containing, RNA binding, signal transduction associated 2",protein-coding gene,gene with protein product,6q11.1,,
2035,HGNC:3377,erythrocyte membrane protein band 4.1,protein-coding gene,gene with protein product,1p33-p32,Erythrocyte membrane protein band 4.1,951
2185,HGNC:9612,protein tyrosine kinase 2 beta,protein-coding gene,gene with protein product,8p21.1,Minor histocompatibility antigens,870
220929,HGNC:21029,zinc finger protein 438,protein-coding gene,gene with protein product,10p11.23,Zinc fingers C2H2-type,28
221074,HGNC:20860,solute carrier family 39 member 12,protein-coding gene,gene with protein product,10p12.33,Solute carriers,752
221079,HGNC:23052,ADP ribosylation factor like GTPase 5B,protein-coding gene,gene with protein product,10p13,ARF GTPase family,357
222537,HGNC:19419,heparan sulfate-glucosamine 3-sulfotransferase 5,protein-coding gene,gene with protein product,6q21,"Sulfotransferases, membrane-bound",763
22914,HGNC:18788,killer cell lectin like receptor K1,protein-coding gene,gene with protein product,12p13.2-p12.3,CD molecules|Killer cell lectin-like receptors,471|621
23270,HGNC:21559,TSPY-like 4,protein-coding gene,gene with protein product,6q22.1,,
23742,HGNC:1190,nuclear pore associated protein 1,protein-coding gene,gene with protein product,15q11.2,,
245806,HGNC:20232,vestigial like family member 2,protein-coding gene,gene with protein product,6q22.31,Vestigial-like family,367
25842,HGNC:20995,anti-silencing function 1A histone chaperone,protein-coding gene,gene with protein product,6q22.31,,
26472,HGNC:9057,protein phosphatase 1 regulatory inhibitor subunit 14B,protein-coding gene,gene with protein product,11q13,Protein phosphatase 1 regulatory subunits,694
26503,HGNC:10933,solute carrier family 17 member 5,protein-coding gene,gene with protein product,6q13,Solute carriers,752
26507,HGNC:102,cyclin and CBS domain divalent metal cation transport mediator 1,protein-coding gene,gene with protein product,10q24.2,,
283130,HGNC:27442,solute carrier family 25 member 45,protein-coding gene,gene with protein product,11q13.1,Solute carriers,752
283316,HGNC:30375,CD163 molecule like 1,protein-coding gene,gene with protein product,12p13.31,,
285761,HGNC:21479,"discoidin, CUB and LCCL domain containing 1",protein-coding gene,gene with protein product,6q22.31,,
29103,HGNC:20325,DnaJ heat shock protein family (Hsp40) member C15,protein-coding gene,gene with protein product,13q14.1,DNAJ (HSP40) heat shock proteins,584
29901,HGNC:30179,SAC3 domain containing 1,protein-coding gene,gene with protein product,11q13.1,,
3205,HGNC:5109,homeobox A9,protein-coding gene,gene with protein product,7p15.2,HOXL subclass homeoboxes,518
338398,HGNC:20639,taste 2 receptor member 60,protein-coding gene,gene with protein product,7q35,Taste 2 receptors,1162
3619,HGNC:6058,inner centromere protein,protein-coding gene,gene with protein product,11q12.3,,
3820,HGNC:6373,killer cell lectin like receptor B1,protein-coding gene,gene with protein product,12p13,CD molecules|C-type lectin domain family|Killer cell lectin-like receptors,471|494|621
402,HGNC:693,ADP ribosylation factor like GTPase 2,protein-coding gene,gene with protein product,11q13,ARF GTPase family,357
4241,HGNC:7037,melanotransferrin,protein-coding gene,gene with protein product,3q28-q29,CD molecules|Transferrins,471|908
4293,HGNC:6861,mitogen-activated protein kinase kinase kinase 9,protein-coding gene,gene with protein product,14q24.2,Mitogen-activated protein kinase kinase kinases,654
5078,HGNC:8618,paired box 4,protein-coding gene,gene with protein product,7q32.1,PRD class homeoboxes and pseudogenes|Paired boxes,521|675
5305,HGNC:8997,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,protein-coding gene,gene with protein product,10p12.2,,
5332,HGNC:9059,phospholipase C beta 4,protein-coding gene,gene with protein product,20p12,Phospholipases|C2 domain containing phospholipases,467|832
54663,HGNC:25529,WD repeat domain 74,protein-coding gene,gene with protein product,11q12.3,WD repeat domain containing,362
55149,HGNC:25532,mitochondrial poly(A) polymerase,protein-coding gene,gene with protein product,10p12.1,,
55331,HGNC:16066,alkaline ceramidase 3,protein-coding gene,gene with protein product,11q13.5,Alkaline ceramidases,400
5537,HGNC:9323,protein phosphatase 6 catalytic subunit,protein-coding gene,gene with protein product,9q33.3,Protein phosphatase catalytic subunits,693
55504,HGNC:11915,tumor necrosis factor receptor superfamily member 19,protein-coding gene,gene with protein product,13q12.11-q12.3,Tumor necrosis factor receptor superfamily,782
55862,HGNC:21489,ethylmalonyl-CoA decarboxylase 1,protein-coding gene,gene with protein product,6q22.33,,
56128,HGNC:8693,protocadherin beta 8,other,protocadherin,5q31,Clustered protocadherins,20
56925,HGNC:13347,latexin,protein-coding gene,gene with protein product,3q25.32,,
57120,HGNC:17643,golgi-associated PDZ and coiled-coil motif containing,protein-coding gene,gene with protein product,6q21,PDZ domain containing,1220
57678,HGNC:24865,"glycerol-3-phosphate acyltransferase, mitochondrial",protein-coding gene,gene with protein product,10q25.3,glycerol-3-phosphate acyltransferases,1035
57700,HGNC:29320,family with sequence similarity 160 member B1,protein-coding gene,gene with protein product,10q26.11,,
58189,HGNC:15466,WAP four-disulfide core domain 1,protein-coding gene,gene with protein product,16q24.1,WAP four-disulfide core domain containing,361
5922,HGNC:9872,RAS p21 protein activator 2,protein-coding gene,gene with protein product,3q22-q23,Pleckstrin homology domain containing|C2 and RasGAP domain containing,682|830
6188,HGNC:10420,ribosomal protein S3,protein-coding gene,gene with protein product,11q13.4,S ribosomal proteins,728
6392,HGNC:10683,succinate dehydrogenase complex subunit D,protein-coding gene,gene with protein product,11q23,Mitochondrial complex II: succinate dehydrogenase subunits,641
64215,HGNC:20090,DnaJ heat shock protein family (Hsp40) member C1,protein-coding gene,gene with protein product,10p11.23,Myb/SANT domain containing|DNAJ (HSP40) heat shock proteins,532|584
64799,HGNC:25721,IQ motif containing H,protein-coding gene,gene with protein product,15q23,,
6494,HGNC:10885,signal-induced proliferation-associated 1,protein-coding gene,gene with protein product,11q13.3,PDZ domain containing,1220
6538,HGNC:11044,solute carrier family 6 member 11,protein-coding gene,gene with protein product,3p25.3,Solute carriers,752
6860,HGNC:11512,synaptotagmin 4,protein-coding gene,gene with protein product,18q12.3,Synaptotagmins,765
7365,HGNC:12544,UDP glucuronosyltransferase family 2 member B10,protein-coding gene,gene with protein product,4q13.2,UDP glucuronosyltransferases,363
740,HGNC:1176,mitochondrial ribosomal protein L49,protein-coding gene,gene with protein product,11q13.1,Mitochondrial ribosomal proteins,646
7536,HGNC:12950,splicing factor 1,protein-coding gene,gene with protein product,11q13,Zinc fingers CCHC-type,74
79852,HGNC:23760,epoxide hydrolase 3,protein-coding gene,gene with protein product,19p13.13,Abhydrolase domain containing,4
80070,HGNC:17178,ADAM metallopeptidase with thrombospondin type 1 motif 20,protein-coding gene,gene with protein product,12q12,ADAM metallopeptidases with thrombospondin type 1 motif,50
80723,HGNC:28480,solute carrier family 35 member G2,protein-coding gene,gene with protein product,3q22.3,Solute carriers,752
823,HGNC:1476,calpain 1,protein-coding gene,gene with protein product,11q13,EF-hand domain containing|Calpains,863|975
83638,HGNC:28801,chromosome 11 open reading frame 68,protein-coding gene,gene with protein product,11q13.1,,
8398,HGNC:9039,phospholipase A2 group VI,protein-coding gene,gene with protein product,22q13.1,Ankyrin repeat domain containing|Patatin-like phospholipase domain containing|Phospholipases|Parkinson disease associated genes,403|466|467|672
84285,HGNC:28147,eukaryotic translation initiation factor 1A domain containing,protein-coding gene,gene with protein product,11q13.1,,
843,HGNC:1500,caspase 10,protein-coding gene,gene with protein product,2q33-q34,Caspases|Death effector domain containing,468|1019
8558,HGNC:1770,cyclin-dependent kinase 10,protein-coding gene,gene with protein product,16q24.3,Cyclin-dependent kinases,496
9088,HGNC:29650,"protein kinase, membrane associated tyrosine/threonine 1",protein-coding gene,gene with protein product,16p13.3,Protein phosphatase 1 regulatory subunits,694
9610,HGNC:18749,Ras and Rab interactor 1,protein-coding gene,gene with protein product,11q13.2,VPS9 domain containing,928
9689,HGNC:18380,basic leucine zipper and W2 domains 1,protein-coding gene,gene with protein product,2q33,,
9712,HGNC:16858,USP6 N-terminal like,protein-coding gene,gene with protein product,10p13,,
9832,HGNC:29067,janus kinase and microtubule interacting protein 2,protein-coding gene,gene with protein product,5q32,,
9869,HGNC:10761,SET domain bifurcated 1,protein-coding gene,gene with protein product,1q21,Lysine methyltransferases|Tudor domain containing|methyl-CpG binding domain containing,487|780|1025
3131,HGNC:4977,hepatic leukemia factor,protein-coding gene,gene with protein product,17q22,,
10803,HGNC:1610,C-C motif chemokine receptor 9,protein-coding gene,gene with protein product,3p21.31,CD molecules|C-C motif chemokine receptors,471|1091
3554,HGNC:5993,interleukin 1 receptor type 1,protein-coding gene,gene with protein product,2q12,CD molecules|I-set domain containing|Immunoglobulin-like domain containing|Interleukin receptors,471|593|594|602
6361,HGNC:10615,C-C motif chemokine ligand 17,protein-coding gene,gene with protein product,16q13,Chemokine ligands|Endogenous ligands,483|542
6369,HGNC:10623,C-C motif chemokine ligand 24,protein-coding gene,gene with protein product,7q11.23,Chemokine ligands|Endogenous ligands,483|542
6374,HGNC:10642,C-X-C motif chemokine ligand 5,protein-coding gene,gene with protein product,4q13.3,Chemokine ligands|Endogenous ligands,483|542
149775,HGNC:24872,GNAS antisense RNA 1,non-coding RNA,"RNA, long non-coding",20q13.32,Long non-coding RNAs,788
26249,HGNC:6354,kelch like family member 3,protein-coding gene,gene with protein product,5q31,Kelch-like|BTB domain containing,617|861
8675,HGNC:11431,syntaxin 16,protein-coding gene,gene with protein product,20q13.32,Syntaxins,818
11010,HGNC:17001,GLI pathogenesis related 1,protein-coding gene,gene with protein product,12q14.1,,
129563,HGNC:28648,DIS3 like 3'-5' exoribonuclease 2,protein-coding gene,gene with protein product,2q37.1,,
4704,HGNC:7693,NADH:ubiquinone oxidoreductase subunit A9,protein-coding gene,gene with protein product,12p13.3,Short chain dehydrogenase/reductase superfamily|NADH:ubiquinone oxidoreductase supernumerary subunits,743|1150
4705,HGNC:7684,NADH:ubiquinone oxidoreductase subunit A10,protein-coding gene,gene with protein product,2q37.3,NADH:ubiquinone oxidoreductase supernumerary subunits,1150
55967,HGNC:23987,NADH:ubiquinone oxidoreductase subunit A12,protein-coding gene,gene with protein product,12q22,NADH:ubiquinone oxidoreductase supernumerary subunits,1150
102800310,HGNC:50646,HAGLR opposite strand (non-protein coding),non-coding RNA,"RNA, long non-coding",2q31.1,,
25976,HGNC:23696,TCDD inducible poly(ADP-ribose) polymerase,protein-coding gene,gene with protein product,3q25.31,Poly(ADP-ribose) polymerases,684
401022,HGNC:43755,HOXD antisense growth-associated long non-coding RNA,non-coding RNA,"RNA, long non-coding",2q31.1,Long non-coding RNAs,788
8631,HGNC:15605,src kinase associated phosphoprotein 1,protein-coding gene,gene with protein product,17q21.32,Pleckstrin homology domain containing,682
92421,HGNC:30599,charged multivesicular body protein 4C,protein-coding gene,gene with protein product,8q21.13,Charged multivesicular body proteins|ESCRT-III,482|1118
1113,HGNC:1929,chromogranin A,protein-coding gene,gene with protein product,14q32,Granins,925
4149,HGNC:6913,MYC associated factor X,protein-coding gene,gene with protein product,14q23,Basic helix-loop-helix proteins,420
55654,HGNC:26038,transmembrane protein 127,protein-coding gene,gene with protein product,2q11.2,,
6390,HGNC:10681,succinate dehydrogenase complex iron sulfur subunit B,protein-coding gene,gene with protein product,1p36.1-p35,Mitochondrial complex II: succinate dehydrogenase subunits,641
101927688,HGNC:51345,SEPT4 antisense RNA 1,non-coding RNA,"RNA, long non-coding",17q22,,
1062,HGNC:1856,centromere protein E,protein-coding gene,gene with protein product,4q24-q25,Kinesins|Protein phosphatase 1 regulatory subunits,622|694
1618,HGNC:2685,deleted in azoospermia like,protein-coding gene,gene with protein product,3p24,RNA binding motif containing,725
55159,HGNC:25539,ring finger and WD repeat domain 3,protein-coding gene,gene with protein product,16q23.1,Ring finger proteins|WD repeat domain containing,58|362
63978,HGNC:14001,PR domain 14,protein-coding gene,gene with protein product,8q13.3,Zinc fingers C2H2-type|PR domain family,28|1197
6793,HGNC:11388,serine/threonine kinase 10,protein-coding gene,gene with protein product,5q35.1,,
8888,HGNC:6946,minichromosome maintenance complex component 3 associated protein,protein-coding gene,gene with protein product,21q22.3,,
9534,HGNC:13047,zinc finger protein 254,protein-coding gene,gene with protein product,19p13,Zinc fingers C2H2-type,28
9673,HGNC:29036,solute carrier family 25 member 44,protein-coding gene,gene with protein product,1q22,Solute carriers,752
1082,HGNC:1886,chorionic gonadotropin beta subunit 3,protein-coding gene,gene with protein product,19q13.33,Endogenous ligands,542
6866,HGNC:11521,tachykinin 3,protein-coding gene,gene with protein product,12q13.3,Endogenous ligands,542
3814,HGNC:6341,KiSS-1 metastasis-suppressor,protein-coding gene,gene with protein product,1q32,Endogenous ligands,542
9770,HGNC:9883,Ras association domain family member 2,protein-coding gene,gene with protein product,20p13,Ras association domain family,1198
6927,HGNC:11621,HNF1 homeobox A,protein-coding gene,gene with protein product,12q24.31,HNF class homeoboxes,524
8131,HGNC:14124,"NPR3 like, GATOR1 complex subunit",protein-coding gene,gene with protein product,16p13.3,,
100288687,HGNC:50800,double homeobox 4,protein-coding gene,gene with protein product,4q35.2,,
22947,HGNC:3082,double homeobox 4 like 1,pseudogene,pseudogene,4q35.2,PRD class homeoboxes and pseudogenes,521
23347,HGNC:29090,structural maintenance of chromosomes flexible hinge domain containing 1,protein-coding gene,gene with protein product,18p11.32,,
2483,HGNC:3954,FSHD region gene 1,protein-coding gene,gene with protein product,4q35,,
3308,HGNC:5237,heat shock protein family A (Hsp70) member 4,protein-coding gene,gene with protein product,5q31.1,Heat shock 70kDa proteins,583
4060,HGNC:6724,lumican,protein-coding gene,gene with protein product,12q21.33,Small leucine-rich repeat proteoglycans,573
100996485,HGNC:48332,chromosome 5 open reading frame 66,other,unknown,5q31.1,,
101805488,HGNC:47044,colon cancer associated transcript 2 (non-protein coding),non-coding RNA,"RNA, long non-coding",8q24.21,Long non-coding RNAs,788
120376,HGNC:26978,colorectal cancer associated 2,protein-coding gene,gene with protein product,11q23.1,,
283050,HGNC:27433,ZMIZ1 antisense RNA 1,non-coding RNA,"RNA, long non-coding",10q22.3,,
3911,HGNC:6485,laminin subunit alpha 5,protein-coding gene,gene with protein product,20q13.2-q13.3,Laminin subunits,626
399948,HGNC:33789,colorectal cancer associated 1,other,unknown,11q23.1,,
51474,HGNC:24636,LIM domain and actin binding 1,protein-coding gene,gene with protein product,12q13.12,LIM domain containing,1218
745,HGNC:1181,myelin regulatory factor,protein-coding gene,gene with protein product,11q12-q13.1,,
80114,HGNC:19351,BicC family RNA binding protein 1,protein-coding gene,gene with protein product,10q21.3,Sterile alpha motif (SAM) domain containing,760
81928,HGNC:16143,Cdk5 and Abl enzyme substrate 2,protein-coding gene,gene with protein product,20q13.33,,
10152,HGNC:24011,abl-interactor 2,protein-coding gene,gene with protein product,2q33,,
1593,HGNC:2605,cytochrome P450 family 27 subfamily A member 1,protein-coding gene,gene with protein product,2q35,Cytochrome P450 family 27,1014
4048,HGNC:6710,leukotriene A4 hydrolase,protein-coding gene,gene with protein product,12q22,,
117,HGNC:242,ADCYAP receptor type I,protein-coding gene,gene with protein product,7p14.3,Vasoactive intestinal peptide receptor family,264
117156,HGNC:18391,secretoglobin family 3A member 2,protein-coding gene,gene with protein product,5q32,Secretoglobins,734
134430,HGNC:30696,WD repeat domain 36,protein-coding gene,gene with protein product,5q22.2,WD repeat domain containing|UTPB complex,362|1225
149628,HGNC:28894,pyrin and HIN domain family member 1,protein-coding gene,gene with protein product,1q23.1,Pyrin domain containing|Pyrin and HIN domain family,994|995
169026,HGNC:20303,solute carrier family 30 member 8,protein-coding gene,gene with protein product,8q24.11,Solute carriers,752
222256,HGNC:26308,cadherin related family member 3,protein-coding gene,gene with protein product,7q22.2,Cadherin-related,24
23108,HGNC:29176,RAP1 GTPase activating protein 2,protein-coding gene,gene with protein product,17p13.3,,
23194,HGNC:13604,F-box and leucine-rich repeat protein 7,protein-coding gene,gene with protein product,5p15.1,F-box and leucine-rich repeat proteins,558
25890,HGNC:17265,ABI family member 3 binding protein,protein-coding gene,gene with protein product,3q12.2,Fibronectin type III domain containing,555
30009,HGNC:11599,T-box 21,protein-coding gene,gene with protein product,17q21.32,T-boxes,766
3135,HGNC:4964,"major histocompatibility complex, class I, G",protein-coding gene,gene with protein product,6p21.3,Histocompatibility complex|C1-set domain containing,588|591
387129,HGNC:23631,neuropeptide S receptor 1,protein-coding gene,gene with protein product,7p14.3,Neuropeptide receptors,854
414764,HGNC:19713,HLA complex group 23 (non-protein coding),non-coding RNA,"RNA, long non-coding",6p21,,
4589,HGNC:7518,"mucin 7, secreted",protein-coding gene,gene with protein product,4q13.3,Mucins,648
5089,HGNC:8633,pre-B-cell leukemia homeobox 2,protein-coding gene,gene with protein product,6p21.32,TALE class homeoboxes and pseudogenes,526
51131,HGNC:17024,PHD finger protein 11,protein-coding gene,gene with protein product,13q14.11,PHD finger proteins,88
55876,HGNC:23690,gasdermin B,protein-coding gene,gene with protein product,17q21.2,,
5660,HGNC:9498,prosaposin,protein-coding gene,gene with protein product,10q21-q22,Endogenous ligands,542
6037,HGNC:10046,ribonuclease A family member 3,protein-coding gene,gene with protein product,14q11.2,Ribonuclease A family,723
60495,HGNC:18374,heparanase 2 (inactive),protein-coding gene,gene with protein product,10q24.2,,
6490,HGNC:10880,premelanosome protein,protein-coding gene,gene with protein product,12q13-q14,,
6701,HGNC:11262,small proline rich protein 2B,protein-coding gene,gene with protein product,1q21-q22,,
94103,HGNC:16038,ORMDL sphingolipid biosynthesis regulator 3,protein-coding gene,gene with protein product,17q12,,
1829,HGNC:3049,desmoglein 2,protein-coding gene,gene with protein product,18q12.1,Desmosomal cadherins,1188
27063,HGNC:15819,ankyrin repeat domain 1,protein-coding gene,gene with protein product,10q23.33,Ankyrin repeat domain containing,403
3920,HGNC:6501,lysosomal associated membrane protein 2,protein-coding gene,gene with protein product,Xq24,CD molecules,471
4563,HGNC:7486,mitochondrially encoded tRNA glycine,non-coding RNA,"RNA, transfer",mitochondria,Mitochondrially encoded tRNAs,843
4565,HGNC:7488,mitochondrially encoded tRNA isoleucine,non-coding RNA,"RNA, transfer",mitochondria,Mitochondrially encoded tRNAs,843
4634,HGNC:7584,myosin light chain 3,protein-coding gene,gene with protein product,3p,Myosin light chains|EF-hand domain containing,657|863
57158,HGNC:14202,junctophilin 2,protein-coding gene,gene with protein product,20q13.12,,
88,HGNC:164,actinin alpha 2,protein-coding gene,gene with protein product,1q42-q43,Actinins,1112
91624,HGNC:29557,nexilin F-actin binding protein,protein-coding gene,gene with protein product,1p31.1,I-set domain containing,593
1459,HGNC:2459,casein kinase 2 alpha 2,protein-coding gene,gene with protein product,16q21,,
2709,HGNC:4287,gap junction protein beta 5,protein-coding gene,gene with protein product,1p34.3,Gap junction proteins,314
3713,HGNC:6187,involucrin,protein-coding gene,gene with protein product,1q21,,
3848,HGNC:6412,keratin 1,protein-coding gene,gene with protein product,12q13.13,"Keratins, type II",609
3858,HGNC:6413,keratin 10,protein-coding gene,gene with protein product,17q21.2,"Keratins, type I",608
4014,HGNC:6663,loricrin,protein-coding gene,gene with protein product,1q21,,
8843,HGNC:16824,hydroxycarboxylic acid receptor 3,protein-coding gene,gene with protein product,12q24.31,Hydroxy-carboxylic acid receptors,200
1103,HGNC:1912,choline O-acetyltransferase,protein-coding gene,gene with protein product,10q11.2,,
1583,HGNC:2590,cytochrome P450 family 11 subfamily A member 1,protein-coding gene,gene with protein product,15q23-q24,Cytochrome P450 family 11,1007
3612,HGNC:6050,inositol monophosphatase 1,protein-coding gene,gene with protein product,8q21.1-q21.3,Phosphoinositide phosphatases,1079
5066,HGNC:8596,peptidylglycine alpha-amidating monooxygenase,protein-coding gene,gene with protein product,5q,,
54886,HGNC:25993,phospholipid phosphatase related 1,protein-coding gene,gene with protein product,9q31.1,Phospholipid phosphatase related,1127
57534,HGNC:21086,mindbomb E3 ubiquitin protein ligase 1,protein-coding gene,gene with protein product,18q11.2,Zinc fingers ZZ-type|Ankyrin repeat domain containing,91|403
6547,HGNC:11070,solute carrier family 8 member A3,protein-coding gene,gene with protein product,14q24.1,Solute carriers,752
7779,HGNC:11012,solute carrier family 30 member 1,protein-coding gene,gene with protein product,1q32.3,Solute carriers,752
8777,HGNC:7208,multiple PDZ domain crumbs cell polarity complex component,protein-coding gene,gene with protein product,9p23,PDZ domain containing|Crumbs complex,1220|1223
93183,HGNC:18858,phosphatidylinositol glycan anchor biosynthesis class M,protein-coding gene,gene with protein product,1q23.2,Dolichyl D-mannosyl phosphate dependent mannosyltransferases|Phosphatidylinositol glycan anchor biosynthesis,430|680
100128590,HGNC:44102,SLC8A1 antisense RNA 1,non-coding RNA,"RNA, long non-coding",2p22.1,,
101929423,HGNC:48908,MEF2C antisense RNA 1,non-coding RNA,"RNA, long non-coding",5q14.3,,
102465508,HGNC:50240,microRNA 6843,non-coding RNA,"RNA, micro",8,MicroRNAs,476
10418,HGNC:11252,spondin 1,protein-coding gene,gene with protein product,11p15.2,,
10658,HGNC:2549,"CUGBP, Elav-like family member 1",protein-coding gene,gene with protein product,11p11.2,RNA binding motif containing,725
10858,HGNC:2641,cytochrome P450 family 46 subfamily A member 1,protein-coding gene,gene with protein product,14q32.2,Cytochrome P450 family 46,1016
10979,HGNC:15767,fermitin family member 2,protein-coding gene,gene with protein product,14q22.1,Fermitins|Pleckstrin homology domain containing,561|682
123041,HGNC:10978,solute carrier family 24 member 4,protein-coding gene,gene with protein product,14q32.12,Solute carriers,752
161,HGNC:562,adaptor related protein complex 2 alpha 2 subunit,protein-coding gene,gene with protein product,11p15.5,,
168667,HGNC:24154,BMP binding endothelial regulator,protein-coding gene,gene with protein product,7p14.3,,
1718,HGNC:2859,24-dehydrocholesterol reductase,protein-coding gene,gene with protein product,1p32.3,,
196051,HGNC:23531,phospholipid phosphatase 4,protein-coding gene,gene with protein product,10q26.13,Phospholipid phosphatases,1067
222255,HGNC:22210,ataxin 7 like 1,protein-coding gene,gene with protein product,7q22.1,,
22976,HGNC:8624,PAX interacting protein 1,protein-coding gene,gene with protein product,7q36,Trinucleotide repeat containing,775
23072,HGNC:22195,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",protein-coding gene,gene with protein product,7p13,C2 domain containing,823
23215,HGNC:24903,proline rich coiled-coil 2C,protein-coding gene,gene with protein product,1q24.3,,
23385,HGNC:17091,nicastrin,protein-coding gene,gene with protein product,1q22-q23,,
23413,HGNC:3953,neuronal calcium sensor 1,protein-coding gene,gene with protein product,9q34.11,EF-hand domain containing,863
23621,HGNC:933,beta-site APP-cleaving enzyme 1,protein-coding gene,gene with protein product,11q23-q24,,
25902,HGNC:21055,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like,protein-coding gene,gene with protein product,6q25.1,,
26330,HGNC:24864,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",protein-coding gene,gene with protein product,19q13.1,,
27115,HGNC:8792,phosphodiesterase 7B,protein-coding gene,gene with protein product,6q23-q24,Phosphodiesterases,681
27328,HGNC:8656,protocadherin 11 X-linked,protein-coding gene,gene with protein product,Xq21.3,Non-clustered protocadherins|Protein phosphatase 1 regulatory subunits,21|694
274,HGNC:1052,bridging integrator 1,protein-coding gene,gene with protein product,2q14,,
285965,HGNC:27799,EPHA1 antisense RNA 1,non-coding RNA,"RNA, long non-coding",7q35,,
28969,HGNC:18808,basic leucine zipper and W2 domains 2,protein-coding gene,gene with protein product,7p21.3,,
29780,HGNC:14653,parvin beta,protein-coding gene,gene with protein product,22q13.2-q13.33,Parvins,673
338645,HGNC:23206,leucine zipper protein 2,protein-coding gene,gene with protein product,11p14.3,,
3416,HGNC:5381,insulin degrading enzyme,protein-coding gene,gene with protein product,10q23-q25,,
343641,HGNC:16255,transglutaminase 6,protein-coding gene,gene with protein product,20p13,Transglutaminases,773
3635,HGNC:6079,inositol polyphosphate-5-phosphatase D,protein-coding gene,gene with protein product,2q37.1,SH2 domain containing|Phosphoinositide phosphatases,741|1079
388325,HGNC:33504,SLP adaptor and CSK interacting membrane protein,protein-coding gene,gene with protein product,17p13.2,,
400511,HGNC:51367,long intergenic non-protein coding RNA 1567,non-coding RNA,"RNA, long non-coding",16p12.1,,
498,HGNC:823,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle",protein-coding gene,gene with protein product,18q21,F-type ATPases|Mitochondrial complex V: ATP synthase subunits,416|644
54798,HGNC:23111,dachsous cadherin-related 2,protein-coding gene,gene with protein product,4q32.1,Cadherin-related,24
54828,HGNC:14347,breast carcinoma amplified sequence 3,protein-coding gene,gene with protein product,17q23.2,WD repeat domain containing,362
55063,HGNC:23486,zinc finger CW-type and PWWP domain containing 1,protein-coding gene,gene with protein product,7q22.1,Zinc fingers CW-type|PWWP domain containing,96|1147
55351,HGNC:14217,serine/threonine kinase 32B,protein-coding gene,gene with protein product,4p16,,
